date,price,volume
2022-01-03,40.37,7734157
2022-01-04,41.07,12131782
2022-01-05,41.97,15346170
2022-01-06,42.4,7855409
2022-01-07,42.56,4411524
2022-01-10,41.61,15531082
2022-01-11,41.19,7949319
2022-01-12,42.37,19907503
2022-01-13,40.81,24888948
2022-01-14,40.53,5993229
2022-01-17,39.28,21195831
2022-01-18,37.33,33176077
2022-01-19,37.39,3222143
2022-01-20,36.49,16736147
2022-01-21,36.92,9566261
2022-01-24,36.4,11050612
2022-01-25,37.01,11903547
2022-01-26,38.28,22668691
2022-01-27,38.87,11296391
2022-01-28,39.11,6212714
2022-01-31,38.3,14708301
2022-02-01,37.86,9522677
2022-02-02,38.49,12380651
2022-02-03,38.4,3127807
2022-02-04,38.76,7880324
2022-02-07,38.97,5766925
2022-02-08,39.52,10709537
2022-02-09,38.98,10300497
2022-02-10,38.84,4155788
2022-02-11,37.97,16377363
2022-02-14,38.85,16641291
2022-02-15,40.06,20767276
2022-02-16,39.9,4315050
2022-02-17,39.6,6330694
2022-02-18,41.05,24180711
2022-02-21,41.33,6183407
2022-02-22,42.77,22681526
2022-02-23,42.97,4581952
2022-02-24,43.09,4124224
2022-02-25,42.48,10519286
2022-02-28,43.08,10956059
2022-03-01,38.78,66619498
2022-03-02,39.75,17378414
2022-03-03,38.31,24754525
2022-03-04,37.95,7446343
2022-03-07,36.15,31044120
2022-03-08,35.82,7735900
2022-03-09,36.52,13578110
2022-03-10,35.66,16607781
2022-03-11,37.05,25518738
2022-03-14,37.36,7663208
2022-03-15,38.78,25039221
2022-03-16,40.17,23588276
2022-03-17,42.06,31094188
2022-03-18,41.46,10439312
2022-03-21,45.57,60185795
2022-03-22,45.28,6141236
2022-03-23,43.91,20438081
2022-03-24,43.71,4890403
2022-03-25,42.62,17447613
2022-03-28,40.54,32962975
2022-03-29,40.96,8272063
2022-03-30,41.81,14321911
2022-03-31,40.94,15035553
2022-04-01,43.2,35409812
2022-04-04,43.63,8333639
2022-04-05,43.48,4148539
2022-04-06,44.77,20219406
2022-04-07,47.27,34807883
2022-04-08,47.72,7583693
2022-04-11,47.45,5836984
2022-04-12,45.03,33859391
2022-04-13,46.06,16537534
2022-04-14,43.48,37190878
2022-04-15,44.23,12635054
2022-04-18,45.88,24335171
2022-04-19,46.35,8231086
2022-04-20,47.19,13288762
2022-04-21,45.93,18522423
2022-04-22,46.88,14875722
2022-04-25,45.53,19265998
2022-04-26,44.69,13304401
2022-04-27,46.09,21129203
2022-04-28,46.2,3961835
2022-04-29,44.86,20335949
2022-05-02,44.12,12184717
2022-05-03,43.77,7754100
2022-05-04,42.64,18295866
2022-05-05,42.07,10711426
2022-05-06,43.95,28751014
2022-05-09,43.12,13672891
2022-05-10,42.21,15186481
2022-05-11,40.61,25841248
2022-05-12,40.82,5408829
2022-05-13,41.37,10232458
2022-05-16,42.74,22282425
2022-05-17,41.87,14455925
2022-05-18,40.83,18064576
2022-05-19,41.38,9883526
2022-05-20,42.28,14923352
2022-05-23,41.57,13002626
2022-05-24,44.7,46695393
2022-05-25,44.07,10915654
2022-05-26,42.38,25924214
2022-05-27,41.71,11248689
2022-05-30,41.45,5730750
2022-05-31,41.81,7846097
2022-06-01,42.2,7662102
2022-06-02,43.5,20242136
2022-06-03,43.1,7649021
2022-06-06,44.16,16772342
2022-06-07,41.84,35549414
2022-06-08,43.58,27452206
2022-06-09,45.53,28838739
2022-06-10,44.82,11313935
2022-06-13,44.88,2114379
2022-06-14,44.75,3711871
2022-06-15,46.51,25839233
2022-06-16,49.65,41966880
2022-06-17,47.56,28270950
2022-06-20,51.11,46337850
2022-06-21,47.36,49050949
2022-06-22,48.81,20869173
2022-06-23,48.58,5383044
2022-06-24,48.58,1591914
2022-06-27,49.08,8338436
2022-06-28,48.6,7373324
2022-06-29,50.19,21185106
2022-06-30,49.74,7813040
2022-07-01,48.43,18827207
2022-07-04,48.05,7251630
2022-07-05,48.41,6703381
2022-07-06,48.43,1958169
2022-07-07,51.92,44658581
2022-07-08,52.75,11610269
2022-07-11,53.64,12158060
2022-07-12,53.59,2531742
2022-07-13,54.36,10447413
2022-07-14,53.48,11921936
2022-07-15,52.89,9282395
2022-07-18,49.62,41332620
2022-07-19,49.06,9158951
2022-07-20,46.44,35686864
2022-07-21,47.37,14220710
2022-07-22,46.82,8748492
2022-07-25,45.32,22351411
2022-07-26,42.18,45826045
2022-07-27,41.97,5322324
2022-07-28,42.9,15780288
2022-07-29,43.25,6957222
2022-08-01,44.29,16586972
2022-08-02,43.57,12052499
2022-08-03,41.75,28213160
2022-08-04,39.77,32071410
2022-08-05,40.44,12405383
2022-08-08,39.76,12828014
2022-08-09,39.97,5205419
2022-08-10,41.55,25740057
2022-08-11,41.0,10528848
2022-08-12,39.68,22232852
2022-08-15,42.02,37699164
2022-08-16,41.97,2656920
2022-08-17,42.11,4183467
2022-08-18,44.36,33320818
2022-08-19,43.48,14004686
2022-08-22,40.95,39234662
2022-08-23,40.6,7360948
2022-08-24,40.0,11646436
2022-08-25,38.44,26969378
2022-08-26,38.42,2140850
2022-08-29,38.3,4099925
2022-08-30,37.19,20047922
2022-08-31,37.63,9093306
2022-09-01,37.78,4491860
2022-09-02,37.25,10376043
2022-09-05,35.78,26321237
2022-09-06,37.18,25449808
2022-09-07,35.93,23272801
2022-09-08,35.05,16539256
2022-09-09,35.14,3351316
2022-09-12,33.33,35256857
2022-09-13,32.32,20544898
2022-09-14,30.63,34520176
2022-09-15,29.55,23784711
2022-09-16,29.42,4933758
2022-09-19,28.68,17234126
2022-09-20,27.95,18024664
2022-09-21,27.79,5634696
2022-09-22,28.0,6465861
2022-09-23,27.65,9723512
2022-09-26,27.53,4951829
2022-09-27,27.09,12275292
2022-09-28,26.78,9230468
2022-09-29,26.57,6986411
2022-09-30,27.49,22982935
2022-10-03,27.35,4996408
2022-10-04,28.14,19324667
2022-10-05,27.73,10901704
2022-10-06,27.76,2996225
2022-10-07,28.25,12852313
2022-10-10,28.33,3664125
2022-10-11,29.1,18110330
2022-10-12,30.16,23560097
2022-10-13,31.16,22248219
2022-10-14,31.37,6061095
2022-10-17,31.06,8262500
2022-10-18,32.13,23272744
2022-10-19,32.02,4472006
2022-10-20,35.03,58079228
2022-10-21,35.38,8360604
2022-10-24,35.62,6319053
2022-10-25,35.22,9416787
2022-10-26,35.66,9462069
2022-10-27,34.29,26393562
2022-10-28,34.49,5585788
2022-10-31,37.01,45212877
2022-11-01,37.73,13664584
2022-11-02,37.72,2379291
2022-11-03,37.66,3220152
2022-11-04,36.81,16085570
2022-11-07,37.09,7000929
2022-11-08,36.61,10118817
2022-11-09,38.1,26921413
2022-11-10,36.16,34353242
2022-11-11,37.1,17512827
2022-11-14,39.2,35681685
2022-11-15,37.86,23636519
2022-11-16,38.29,9007217
2022-11-17,40.05,29388926
2022-11-18,39.89,4636496
2022-11-21,38.65,21491537
2022-11-22,39.25,11512503
2022-11-23,39.07,4674785
2022-11-24,38.36,13076447
2022-11-25,38.59,5814482
2022-11-28,36.86,30250681
2022-11-29,35.98,16829526
2022-11-30,36.4,9295984
2022-12-01,35.7,14327902
2022-12-02,36.95,23451205
2022-12-05,35.83,20845877
2022-12-06,35.76,3076529
2022-12-07,36.68,17515753
2022-12-08,37.27,11363965
2022-12-09,36.77,10327153
2022-12-12,37.74,17789494
2022-12-13,37.39,8230013
2022-12-14,39.68,38995293
2022-12-15,36.33,56374259
2022-12-16,37.38,19547146
2022-12-19,37.2,4345365
2022-12-20,37.47,6029492
2022-12-21,37.32,4813331
2022-12-22,38.02,13270976
2022-12-23,37.52,10424845
2022-12-26,37.8,6507502
2022-12-27,39.08,22557814
2022-12-28,40.18,19280358
2022-12-29,38.63,26254781
2022-12-30,39.17,10325059
2023-01-02,39.95,14081943
2023-01-03,39.4,10244999
2023-01-04,38.5,16461931
2023-01-05,38.17,7425791
2023-01-06,37.38,14999302
2023-01-09,37.81,8918487
2023-01-10,40.03,36911331
2023-01-11,43.52,53313408
2023-01-12,43.11,8506749
2023-01-13,45.13,30337701
2023-01-16,45.71,10036493
2023-01-17,44.08,25020758
2023-01-18,45.17,16957538
2023-01-19,44.48,11559061
2023-01-20,42.85,24632746
2023-01-23,42.95,3023353
2023-01-24,41.69,20617659
2023-01-25,42.26,10677638
2023-01-26,43.4,18282346
2023-01-27,42.08,21271114
2023-01-30,39.47,41045397
2023-01-31,38.34,20082027
2023-02-01,36.23,36672669
2023-02-02,38.04,31990596
2023-02-03,37.27,14311606
2023-02-06,37.98,13146972
2023-02-07,38.43,9276605
