country,year,tourism_reliance,remittance_reliance,is_oil_exporter,tourism_arrivals_growth,oil_price_usd,remittance_growth,inflation,world_growth,crisis_year,pandemic_year,gdp_growth
Jamaica,2004,0.34,0.2,0,3.09,35.21,-0.46,7.19,3.19,0,0,2.24
Jamaica,2005,0.34,0.2,0,9.32,41.58,2.22,3.1,0.25,0,0,3.48
Jamaica,2006,0.34,0.2,0,2.43,52.51,8.31,3.4,1.75,0,0,3.66
Jamaica,2007,0.34,0.2,0,2.17,66.14,-6.82,4.38,3.8,0,0,1.9
Jamaica,2008,0.34,0.2,0,1.07,62.28,2.97,2.63,1.28,0,0,2.68
Jamaica,2009,0.34,0.2,0,2.82,90.51,3.73,4.03,1.66,1,0,-2.15
Jamaica,2010,0.34,0.2,0,2.21,57.81,2.43,3.9,2.63,0,0,3.3
Jamaica,2011,0.34,0.2,0,-5.41,52.19,2.9,2.22,4.31,0,0,2.78
Jamaica,2012,0.34,0.2,0,8.09,42.41,-1.44,3.83,3.66,0,0,4.79
Jamaica,2013,0.34,0.2,0,2.4,25.89,0.39,2.58,-0.71,0,0,2.36
Jamaica,2014,0.34,0.2,0,2.93,26.76,-1.18,2.82,2.92,0,0,3.74
Jamaica,2015,0.34,0.2,0,9.71,24.26,5.69,9.23,0.78,0,0,4.13
Jamaica,2016,0.34,0.2,0,6.71,43.37,7.38,7.31,2.74,0,0,4.54
Jamaica,2017,0.34,0.2,0,0.21,31.01,7.93,3.72,4.11,0,0,5.39
Jamaica,2018,0.34,0.2,0,9.27,17.49,7.85,2.79,4.73,0,0,5.17
Jamaica,2019,0.34,0.2,0,4.58,19.2,4.46,4.75,2.26,0,0,3.77
Jamaica,2020,0.34,0.2,0,7.21,15.0,2.89,7.99,2.13,1,1,-6.47
Jamaica,2021,0.34,0.2,0,5.58,27.67,6.9,1.93,3.26,0,0,5.93
Jamaica,2022,0.34,0.2,0,1.43,36.97,-3.66,2.86,5.53,0,0,4.97
Jamaica,2023,0.34,0.2,0,5.07,39.72,7.23,1.0,2.7,0,0,5.32
Trinidad and Tobago,2004,0.08,0.03,1,2.48,33.58,1.77,3.03,2.37,0,0,2.45
Trinidad and Tobago,2005,0.08,0.03,1,2.74,65.91,2.2,5.23,3.7,0,0,4.01
Trinidad and Tobago,2006,0.08,0.03,1,4.57,57.05,-2.11,3.21,2.92,0,0,2.9
Trinidad and Tobago,2007,0.08,0.03,1,2.38,68.04,6.14,0.0,-0.62,0,0,3.33
Trinidad and Tobago,2008,0.08,0.03,1,2.77,76.51,-0.66,6.02,4.7,0,0,4.72
Trinidad and Tobago,2009,0.08,0.03,1,2.41,62.82,2.13,1.79,5.3,1,0,-2.81
Trinidad and Tobago,2010,0.08,0.03,1,-2.04,73.7,1.91,7.83,1.93,0,0,4.36
Trinidad and Tobago,2011,0.08,0.03,1,2.84,48.09,-0.7,2.56,3.34,0,0,2.56
Trinidad and Tobago,2012,0.08,0.03,1,3.1,42.76,3.97,3.24,2.4,0,0,0.81
Trinidad and Tobago,2013,0.08,0.03,1,5.13,37.67,4.05,5.59,1.33,0,0,1.84
Trinidad and Tobago,2014,0.08,0.03,1,3.28,33.17,7.11,3.62,3.73,0,0,3.96
Trinidad and Tobago,2015,0.08,0.03,1,-4.45,21.67,3.26,3.64,1.01,0,0,-0.88
Trinidad and Tobago,2016,0.08,0.03,1,13.25,44.94,-1.89,4.48,4.63,0,0,2.82
Trinidad and Tobago,2017,0.08,0.03,1,2.49,15.0,3.88,2.79,4.01,0,0,-0.31
Trinidad and Tobago,2018,0.08,0.03,1,9.63,15.0,4.05,2.94,3.35,0,0,1.03
Trinidad and Tobago,2019,0.08,0.03,1,6.21,15.75,-2.65,0.66,4.2,0,0,1.67
Trinidad and Tobago,2020,0.08,0.03,1,4.79,31.33,-3.8,3.33,2.53,1,1,-5.15
Trinidad and Tobago,2021,0.08,0.03,1,8.94,19.62,10.42,5.15,4.91,0,0,0.4
Trinidad and Tobago,2022,0.08,0.03,1,-8.28,30.64,-2.95,2.36,3.15,0,0,1.63
Trinidad and Tobago,2023,0.08,0.03,1,-1.86,47.59,4.68,6.6,3.04,0,0,1.94
Barbados,2004,0.4,0.05,0,7.55,35.07,3.28,5.86,1.96,0,0,4.91
Barbados,2005,0.4,0.05,0,4.65,48.33,2.47,6.47,1.2,0,0,0.86
Barbados,2006,0.4,0.05,0,7.01,43.14,5.55,5.44,3.7,0,0,4.76
Barbados,2007,0.4,0.05,0,-5.24,40.96,5.39,1.71,5.24,0,0,2.41
Barbados,2008,0.4,0.05,0,-4.76,85.39,0.08,1.13,2.91,0,0,2.69
Barbados,2009,0.4,0.05,0,2.07,66.43,3.22,0.0,2.92,1,0,-1.47
Barbados,2010,0.4,0.05,0,0.01,48.23,5.92,5.2,1.66,0,0,3.05
Barbados,2011,0.4,0.05,0,-5.77,54.92,-9.44,3.39,1.13,0,0,0.09
Barbados,2012,0.4,0.05,0,-2.12,59.26,7.44,6.56,2.2,0,0,-0.0
Barbados,2013,0.4,0.05,0,-4.45,45.74,-3.51,2.7,2.57,0,0,1.98
Barbados,2014,0.4,0.05,0,1.01,30.91,1.13,4.69,4.11,0,0,4.17
Barbados,2015,0.4,0.05,0,-6.66,23.83,8.86,1.54,4.48,0,0,3.0
Barbados,2016,0.4,0.05,0,5.01,15.0,-6.51,5.32,2.41,0,0,4.4
Barbados,2017,0.4,0.05,0,10.35,15.0,4.83,5.07,2.39,0,0,4.38
Barbados,2018,0.4,0.05,0,1.5,19.66,5.09,4.89,4.07,0,0,3.95
Barbados,2019,0.4,0.05,0,-5.08,18.18,-0.39,5.13,2.55,0,0,2.58
Barbados,2020,0.4,0.05,0,6.51,21.43,4.22,3.78,3.21,1,1,-5.88
Barbados,2021,0.4,0.05,0,6.72,24.15,7.2,4.53,2.26,0,0,4.44
Barbados,2022,0.4,0.05,0,-0.27,15.0,-2.7,2.23,1.36,0,0,2.88
Barbados,2023,0.4,0.05,0,-0.72,53.81,-4.03,5.08,0.38,0,0,1.71
Bahamas,2004,0.5,0.02,0,0.45,46.2,4.53,2.39,0.31,0,0,2.91
