home_team,away_team,home_rating,away_rating,home_recent_form,away_recent_form,home_goals_avg,away_goals_avg,home_goals,away_goals,result
Cuba,Aruba,62,43,-5.69,4.19,2.32,1.32,2,0,home_win
Saint Lucia,Curacao,46,68,1.54,-0.19,1.5,2.33,1,1,draw
Curacao,Suriname,68,61,1.97,-0.7,2.21,2.29,1,1,draw
Bahamas,Antigua and Barbuda,40,49,-3.51,4.05,1.67,2.09,1,3,away_win
Guadeloupe,Trinidad and Tobago,60,71,-2.48,4.33,2.24,2.65,1,2,away_win
Puerto Rico,Belize,44,45,2.48,-1.99,1.86,1.32,0,2,away_win
Saint Kitts and Nevis,Belize,51,45,-1.67,-2.96,1.3,1.11,2,0,home_win
Haiti,Cuba,69,62,-3.65,0.51,1.6,1.79,1,0,home_win
Guadeloupe,Cayman Islands,60,33,-1.96,3.86,1.93,1.71,5,2,home_win
Bahamas,Trinidad and Tobago,40,71,2.03,1.76,0.55,1.64,1,3,away_win
Guadeloupe,Saint Lucia,60,46,-0.09,2.84,1.86,2.09,1,0,home_win
Dominican Republic,Aruba,57,43,3.44,-2.41,0.98,1.48,3,0,home_win
Haiti,Trinidad and Tobago,69,71,3.36,-1.38,2.03,2.78,3,3,draw
Bahamas,Belize,40,45,-4.39,-1.36,2.18,1.84,1,0,home_win
Bahamas,Dominican Republic,40,57,0.27,0.65,0.95,2.52,0,1,away_win
Haiti,Suriname,69,61,-3.29,-0.72,2.26,1.69,1,1,draw
Jamaica,Trinidad and Tobago,78,71,1.86,8.75,2.98,1.99,1,2,away_win
Cayman Islands,Saint Vincent and the Grenadines,33,45,1.06,1.71,0.83,2.02,3,2,home_win
Bahamas,Suriname,40,61,-2.18,2.26,1.78,2.34,1,2,away_win
Montserrat,Martinique,30,59,1.67,0.34,0.85,2.28,2,3,away_win
Barbados,Guadeloupe,48,60,1.23,0.11,1.66,2.1,1,1,draw
Guadeloupe,Haiti,60,69,-1.43,1.11,2.35,1.87,3,0,home_win
Bermuda,Saint Vincent and the Grenadines,47,45,-3.31,-4.61,1.32,1.28,1,3,away_win
Montserrat,Barbados,30,48,-0.64,4.87,1.61,2.19,0,2,away_win
Dominica,Jamaica,39,78,7.61,2.94,1.56,2.15,0,5,away_win
Saint Lucia,Bermuda,46,47,-0.81,0.02,1.6,1.1,4,0,home_win
Saint Lucia,Haiti,46,69,1.98,0.23,1.26,1.47,3,4,away_win
Martinique,Montserrat,59,30,2.88,-3.09,2.42,1.59,1,0,home_win
Puerto Rico,Dominica,44,39,0.52,0.17,1.65,1.04,1,0,home_win
Dominican Republic,Martinique,57,59,2.69,-0.36,2.01,3.15,0,1,away_win
Haiti,Antigua and Barbuda,69,49,3.25,4.81,2.33,2.3,3,2,home_win
Trinidad and Tobago,Aruba,71,43,0.6,-2.2,2.0,1.47,6,0,home_win
Suriname,Puerto Rico,61,44,-1.68,4.75,1.83,1.65,0,1,away_win
Bahamas,Antigua and Barbuda,40,49,1.99,-1.72,1.07,0.47,1,1,draw
Martinique,Bermuda,59,47,2.5,-0.41,1.05,1.97,2,0,home_win
Puerto Rico,Cayman Islands,44,33,5.57,-3.31,1.57,1.2,1,0,home_win
Jamaica,Cuba,78,62,3.09,-1.8,2.36,2.27,3,1,home_win
Antigua and Barbuda,Guadeloupe,49,60,0.07,-0.67,1.98,2.17,2,0,home_win
Saint Lucia,Guadeloupe,46,60,0.86,-1.8,1.44,2.22,1,1,draw
Guyana,Montserrat,55,30,1.82,2.38,1.72,0.81,2,0,home_win
Jamaica,Saint Kitts and Nevis,78,51,4.95,1.12,2.79,2.38,1,1,draw
Grenada,Belize,52,45,-1.05,3.92,1.54,1.7,1,1,draw
Antigua and Barbuda,Saint Kitts and Nevis,49,51,-2.11,1.52,1.2,1.74,0,3,away_win
Dominica,Bermuda,39,47,1.14,3.55,1.26,1.62,1,0,home_win
Saint Vincent and the Grenadines,Belize,45,45,2.17,-0.61,0.92,1.57,2,1,home_win
Barbados,Grenada,48,52,-2.96,0.02,2.09,1.09,2,1,home_win
Guyana,Cuba,55,62,-5.65,-0.52,2.43,2.14,2,3,away_win
Cuba,Montserrat,62,30,-2.03,1.31,1.68,0.57,2,1,home_win
Martinique,Trinidad and Tobago,59,71,-0.38,4.46,1.67,1.92,1,2,away_win
Guadeloupe,Puerto Rico,60,44,-2.76,-3.32,2.26,2.06,5,2,home_win
Cayman Islands,Saint Lucia,33,46,9.71,1.61,1.11,1.78,1,2,away_win
Belize,Martinique,45,59,-1.13,4.89,1.59,2.18,0,2,away_win
Dominica,Jamaica,39,78,2.65,-5.48,1.58,2.16,0,1,away_win
Haiti,Saint Kitts and Nevis,69,51,0.73,-1.34,1.76,1.3,4,1,home_win
Dominican Republic,Cayman Islands,57,33,-5.68,-0.82,1.31,0.85,0,0,draw
Saint Lucia,Barbados,46,48,-3.44,0.15,2.72,1.8,1,1,draw
Dominican Republic,Grenada,57,52,3.33,3.57,2.32,1.85,0,1,away_win
Grenada,Guadeloupe,52,60,-3.83,-0.84,1.72,2.04,2,1,home_win
Saint Lucia,Dominican Republic,46,57,0.36,-6.12,1.9,1.62,2,1,home_win
Puerto Rico,Saint Lucia,44,46,2.44,2.71,1.29,2.09,1,2,away_win
Haiti,Saint Lucia,69,46,6.15,0.93,2.45,1.0,2,0,home_win
Belize,Saint Vincent and the Grenadines,45,45,3.65,1.97,0.94,1.76,3,3,draw
Dominica,Saint Kitts and Nevis,39,51,0.82,-1.12,1.85,1.76,2,2,draw
Saint Lucia,Suriname,46,61,0.6,-2.82,1.46,1.83,1,0,home_win
Grenada,Dominican Republic,52,57,-1.14,-2.39,1.7,0.74,2,3,away_win
Dominican Republic,Guyana,57,55,-2.03,-3.04,2.02,2.28,4,1,home_win
Saint Vincent and the Grenadines,Jamaica,45,78,-4.7,-1.51,1.5,2.48,0,2,away_win
Dominica,Montserrat,39,30,-0.56,1.15,1.4,1.07,3,4,away_win
Aruba,Puerto Rico,43,44,2.87,3.45,1.37,1.44,2,0,home_win
Belize,Cayman Islands,45,33,1.56,-1.37,1.8,1.02,3,1,home_win
Suriname,Aruba,61,43,0.59,4.42,1.74,1.62,2,0,home_win
Haiti,Bermuda,69,47,5.93,0.21,2.28,1.47,5,1,home_win
Saint Lucia,Cuba,46,62,4.28,-3.12,2.04,2.15,2,5,away_win
Saint Vincent and the Grenadines,Dominica,45,39,-1.9,-3.2,2.11,1.2,1,1,draw
Antigua and Barbuda,Suriname,49,61,-5.48,-0.23,1.26,2.78,0,3,away_win
Suriname,Cayman Islands,61,33,-2.78,-3.7,2.6,0.93,4,0,home_win
Guyana,Curacao,55,68,-1.84,-0.25,2.23,2.8,1,1,draw
Puerto Rico,Suriname,44,61,1.69,1.56,1.42,2.38,2,1,home_win
Aruba,Trinidad and Tobago,43,71,0.16,-0.46,1.67,2.63,0,0,draw
Bermuda,Aruba,47,43,1.58,-0.63,2.05,1.39,1,2,away_win
Aruba,Martinique,43,59,-4.43,-0.45,0.72,2.34,0,2,away_win
Dominican Republic,Guadeloupe,57,60,-5.7,0.07,2.06,1.9,0,3,away_win
Haiti,Puerto Rico,69,44,0.65,-0.58,2.36,1.96,5,0,home_win
Guadeloupe,Barbados,60,48,5.59,5.18,1.79,1.16,4,2,home_win
Bermuda,Saint Kitts and Nevis,47,51,2.81,1.11,2.24,0.99,1,3,away_win
Belize,Saint Lucia,45,46,-2.9,0.59,1.75,1.25,0,3,away_win
Saint Kitts and Nevis,Belize,51,45,-1.14,4.27,2.14,1.97,1,1,draw
Dominica,Belize,39,45,-2.05,0.74,1.86,1.75,2,1,home_win
Montserrat,Guadeloupe,30,60,1.04,-1.4,1.48,1.31,0,2,away_win
Barbados,Bahamas,48,40,-0.7,2.6,1.48,1.6,2,0,home_win
Haiti,Bermuda,69,47,2.1,-1.95,1.97,0.72,1,1,draw
Cuba,Grenada,62,52,0.56,-3.24,2.02,1.62,2,0,home_win
Curacao,Bahamas,68,40,-0.15,-1.23,1.23,1.28,4,0,home_win
Saint Vincent and the Grenadines,Cuba,45,62,-1.7,2.45,1.59,1.64,1,1,draw
Aruba,Saint Kitts and Nevis,43,51,2.31,-6.34,1.02,1.93,1,1,draw
Haiti,Bahamas,69,40,3.97,-0.17,2.29,1.41,2,0,home_win
Bermuda,Cayman Islands,47,33,-5.45,-3.79,1.41,1.96,1,0,home_win
Guyana,Bahamas,55,40,2.96,0.93,2.0,1.53,3,0,home_win
Bahamas,Grenada,40,52,2.07,-3.51,1.51,1.69,2,0,home_win
Guadeloupe,Saint Vincent and the Grenadines,60,45,-0.89,3.21,1.33,1.6,2,1,home_win
